food_name,brand_name_item_name,brand_name,serving_unit,serving_qty,nf_calories
"Marinade & Grill Sauce, Roasted Garlic","The Garlic Survival Co. Marinade & Grill Sauce, Roasted Garlic",The Garlic Survival Co.,tbsp,1.0,5.0
"Triscuit, Roasted Garlic","Nabisco Triscuit, Roasted Garlic",Nabisco,crackers,6.0,120.0
Ginger Cinnamon,Ginger Vyne Ginger Cinnamon,Ginger Vyne,fl oz,8.0,50.0
Ginger Shot,Ginger Time Ginger Shot,Ginger Time,bottle,1.0,20.0
Ginger Spread,The Ginger People Ginger Spread,The Ginger People,oz,1.0,80.0
Classic Ginger,Portland Ginger Brew Classic Ginger,Portland Ginger Brew,bottle,1.0,65.0
"Ginger Ale, Ginger Cheer","Unknown Ginger Ale, Ginger Cheer",Unknown,can,1.0,50.0
Cranberry Ginger Ale,Ginger Ale Grocery Cranberry Ginger Ale,Ginger Ale Grocery,fl oz,8.0,90.0
Ginger Tea Ginger Spritzer,Elephant Bar Ginger Tea Ginger Spritzer,Elephant Bar,order,1.0,140.0
Raspberry Ginger Ale,Ginger Ale Grocery Raspberry Ginger Ale,Ginger Ale Grocery,can,1.0,140.0
"Ginger, Prepared Ginger in Tube","S&B Ginger, Prepared Ginger in Tube",S&B,tsp,1.0,5.0
"Breakfast Biscuits, Gingerbread","BelVita Breakfast Biscuits, Gingerbread",BelVita,biscuits,4.0,230.0
"Chewy Ginger Candy, Original","The Ginger People Chewy Ginger Candy, Original",The Ginger People,g,100.0,379.0
"Fruit & Ginger Tonic, Ginger Lemonade","Organic Avenue Fruit & Ginger Tonic, Ginger Lemonade",Organic Avenue,bottle,1.0,120.0
"Bone Broth, Chicken with Ginger & Turmeric","Swanson Bone Broth, Chicken with Ginger & Turmeric",Swanson,container,1.0,45.0
"Old Fashioned Ginger Cookies, Ginger Snaps","Murray Old Fashioned Ginger Cookies, Ginger Snaps",Murray,cookies,5.0,140.0
"Gin Gins, Ginger Caramel Candy","The Ginger People Gin Gins, Ginger Caramel Candy",The Ginger People,pieces,6.0,60.0
Raspberry Soda,Ginger Raspberry Soda,Ginger,fl oz,8.0,100.0
Mongolian Ginger Sauce (Red Ginger Dipping Sauce),Bd's Mongolian Grill Mongolian Ginger Sauce (Red Ginger Dipping Sauce),Bd's Mongolian Grill,oz,1.0,60.0
"Wrap, Southwestern Turkey","Ginger Wrap, Southwestern Turkey",Ginger,wrap,1.0,560.0
Ginger Ale,Canada Dry Ginger Ale,Canada Dry,can,1.0,140.0
"Mini Gingerbread Men, Gingerbread Cookies with White Fudge Icing","Trader Joe's Mini Gingerbread Men, Gingerbread Cookies with White Fudge Icing",Trader Joe's,cookies,3.0,120.0
Cauliflower Gnocchi,Trader Joe's Cauliflower Gnocchi,Trader Joe's,cup,1.0,140.0
"Outside-In Stuffed Gnocchi, Potato Gnocchi Stuffed with Tomato Sauce & Mozzarella","Trader Joe's Outside-In Stuffed Gnocchi, Potato Gnocchi Stuffed with Tomato Sauce & Mozzarella",Trader Joe's,cup,1.0,180.0
Gnocchi Sorrentina,Ahold Gnocchi Sorrentina,Ahold,cup,1.0,320.0
Spinach Gnocchi,Unknown Spinach Gnocchi,Unknown,oz,4.0,260.0
Gnocchi,Valterra Gnocchi,Valterra,cup,0.75,170.0
Potato Gnocchi,Meijer Potato Gnocchi,Meijer,cup,1.0,270.0
Skillet Gnocchi Kit,Giovanni Rana Skillet Gnocchi Kit,Giovanni Rana,g,188.0,430.0
Tri-Color Gnocchi,Gia Russa Tri-Color Gnocchi,Gia Russa,cup,0.75,180.0
Gnocchi Di Patate,Delverde Gnocchi Di Patate,Delverde,cup,0.75,170.0
"Gnocchi, Pumpkin","World Market Gnocchi, Pumpkin",World Market,cup,1.0,210.0
"Potato Gnocchi, Basil","Sophia Potato Gnocchi, Basil",Sophia,cup,1.0,205.0
Gnocchi Alla Sorrentina,Priano Gnocchi Alla Sorrentina,Priano,cup,1.0,200.0
Thermidor Gnocchi,Bonefish Grill Thermidor Gnocchi,Bonefish Grill,Serving,1.0,1030.0
Gnocchi with Marinara Sauce,Conte's Pasta Gnocchi with Marinara Sauce,Conte's Pasta,oz,12.0,390.0
Wild Mushroom Gnocchi,The Pickle Barrel Wild Mushroom Gnocchi,The Pickle Barrel,serving,1.0,930.0
Roasted Vegetable Gnocchi,Seasons 52 Roasted Vegetable Gnocchi,Seasons 52,Serving,1.0,570.0
Chicken & Gnocchi Soup,Olive Garden Chicken & Gnocchi Soup,Olive Garden,serving,1.0,230.0
Gorgonzola Cheese Stuffed Gnocchi,Flora Gorgonzola Cheese Stuffed Gnocchi,Flora,oz,4.0,180.0
"Potato Gnocchi, Whole Wheat","Siena Potato Gnocchi, Whole Wheat",Siena,cup,1.0,243.0
Gooseberry Jam,Ikea Gooseberry Jam,Ikea,tbsp,1.0,50.0
"Jam, Gooseberry & Cranberry","Goose & Crane Jam, Gooseberry & Cranberry",Goose & Crane,tbsp,1.0,60.0
Gooseberries in Juice,ASDA Gooseberries in Juice,ASDA,can,0.5,114.6500015258789
Vodka,Grey Goose Vodka,Grey Goose,oz,1.0,69.0
Goose Island,California Pizza Kitchen Goose Island,California Pizza Kitchen,oz,12.0,140.0
Gooseberries in Syrup,Princes Gooseberries in Syrup,Princes,can,0.5,113.93000030517578
Orange Marmalade,Goose Valley Orange Marmalade,Goose Valley,g,100.0,185.5800018310547
Rice & Bean Fusion,Goose Valley Rice & Bean Fusion,Goose Valley,cup dry,0.17000000178813934,131.0
Dirty Goose,The Capital Grille Dirty Goose,The Capital Grille,Serving,1.0,190.0
Grey Goose Cooler,TGI Friday's Grey Goose Cooler,TGI Friday's,serving,1.0,210.0
"Goose Island IPA, Middy","Outback Steakhouse Goose Island IPA, Middy",Outback Steakhouse,serving,1.0,240.0
Gourmet Roasts Basted in Goose Fat,McCain Gourmet Roasts Basted in Goose Fat,McCain,g oven baked,100.0,231.1999969482422
Grey Goose Caipiroska,Texas de Brazil Grey Goose Caipiroska,Texas de Brazil,Cocktail,1.0,190.0
Draft Goose Island Ipa,Maggiano's Little Italy Draft Goose Island Ipa,Maggiano's Little Italy,Fl oz,14.0,250.0
"Goose Island 312 Wheat, Middy","Outback Steakhouse Goose Island 312 Wheat, Middy",Outback Steakhouse,serving,1.0,180.0
"Goose Island IPA, Big Bloke","Outback Steakhouse Goose Island IPA, Big Bloke",Outback Steakhouse,serving,1.0,310.0
Chicken Wings,Blue Goose Chicken Wings,Blue Goose,wings edible portion,3.0,200.0
"Fusion Rice, Family Blend Basmati & Wild","Goose Valley Fusion Rice, Family Blend Basmati & Wild",Goose Valley,cup dry,0.25,123.0
"Goose Island IPA, Bottle, 12 oz","Outback Steakhouse Goose Island IPA, Bottle, 12 oz",Outback Steakhouse,oz,12.0,200.0
Sweet & Salty Nut Granola Bars Peanut,Nature Valley Sweet & Salty Nut Granola Bars Peanut,Nature Valley,bar,1.0,170.0
Simply Granola,Quaker Simply Granola,Quaker,cup,0.5,210.0
"Granola Bar, Peanut Butter","Nature Valley Granola Bar, Peanut Butter",Nature Valley,bars,2.0,190.0
Cranberry Granola,Boulder Granola Cranberry Granola,Boulder Granola,cup,0.25,180.0
"Granola, Original","Michele's Granola Granola, Original",Michele's Granola,cup,1.0,150.0
"Granola, House Blend","House Granola Granola, House Blend",House Granola,cup,0.25,140.0
"Trail Mix Granola Bar, Fruit & Nut","Nature Valley Trail Mix Granola Bar, Fruit & Nut",Nature Valley,bar,1.0,140.0
"Granola Bar, Dark Chocolate Chunk","Kind Granola Bar, Dark Chocolate Chunk",Kind,bar,1.0,150.0
Gluten Free Granola,Back Roads Granola Gluten Free Granola,Back Roads Granola,cup,0.25,190.0
"Granola Bar, Mango Ginger","Anahola Granola Granola Bar, Mango Ginger",Anahola Granola,bar,1.0,180.0
Sweet & Salty Nut Almond Granola Bars,Nature Valley Sweet & Salty Nut Almond Granola Bars,Nature Valley,bar,1.0,160.0
"Granola, Gluten Free","Santa Fe Granola Company Granola, Gluten Free",Santa Fe Granola Company,cup,0.33000001311302185,130.0
"Granola, Taste of Seattle","Naked Granola Granola, Taste of Seattle",Naked Granola,pack,1.0,159.0
"Granola, Just Right Blend","Grandview Granola Co. Granola, Just Right Blend",Grandview Granola Co.,cup,1.0,138.60000610351562
Peanut Butter & Chocolate Granola,Nuts About Granola Peanut Butter & Chocolate Granola,Nuts About Granola,oz,2.0,260.0
"Chewy Granola Bar, Chocolate Chips","Quaker Chewy Granola Bar, Chocolate Chips",Quaker,bar,1.0,100.0
Mac Daddy Granola,The Best Damn Granola Company Mac Daddy Granola,The Best Damn Granola Company,cup,0.25,100.0
Coffee Nut Granola,Star Sky Granola Coffee Nut Granola,Star Sky Granola,cup,1.0,110.0
Blueberry Vanilla Cluster Granola,Alaska Gourmet Granola Blueberry Vanilla Cluster Granola,Alaska Gourmet Granola,cup,0.33000001311302185,120.0
Grapes,Crunchies Grapes,Crunchies,package,1.0,35.0
Red Grapes,Delish Red Grapes,Delish,serving,1.0,160.0
Champagne Grapes,AMC Champagne Grapes,AMC,cup,0.5,50.0
Grapes Drink,Jayone Grapes Drink,Jayone,fl oz,8.050000190734863,120.0
Fresh Grapes,Henderson's Best Fresh Grapes,Henderson's Best,cup,0.5,62.0
Kid's Grapes,Eat'n Park Kid's Grapes,Eat'n Park,serving,1.0,40.0
Grapeseed Oil,Meridian Grapeseed Oil,Meridian,g,100.0,882.77001953125
Kids Grapes,Olive Garden Kids Grapes,Olive Garden,serving,1.0,40.0
Pure Grapeseed Oil,Sadaf Pure Grapeseed Oil,Sadaf,tbsp,1.0,120.0
Sliced Grapes,Be Leaf Sliced Grapes,Be Leaf,oz,1.5,25.0
Seedless Grapes,Scarlotta Seedless Grapes,Scarlotta,cup,1.5,90.0
Crunchy Grapes,Kiddylicious Crunchy Grapes,Kiddylicious,g bag,6.0,20.540000915527344
"Fruit, Fresh, Grapes","Grandy's Fruit, Fresh, Grapes",Grandy's,Cup,0.5,50.0
Grapes & Cheese,Mibo Fresh Grapes & Cheese,Mibo Fresh,oz,4.0,200.0
Green Grapes,Golden Corral Green Grapes,Golden Corral,0 each,1.0,35.0
Black Seedless Grapes,Adora Black Seedless Grapes,Adora,cup,1.5,90.0
"Grapes, Carrots, Cheese & Pretzels","Unknown Grapes, Carrots, Cheese & Pretzels",Unknown,container,1.0,270.0
"Melon, Mango, Kiwi & Grapes","Waitrose Melon, Mango, Kiwi & Grapes",Waitrose,g,100.0,60.43000030517578
Green Beans & Almonds,Green Giant Green Beans & Almonds,Green Giant,cup frozen,0.75,40.0
"Garden Greens Blend, Essential Greens","Garden Greens Garden Greens Blend, Essential Greens",Garden Greens,scoop,1.0,45.0
Riced Veggies,Green Giant Riced Veggies,Green Giant,cup frozen,1.0,40.0
"Riced Veggies, Cauliflower","Green Giant Riced Veggies, Cauliflower",Green Giant,cup,1.0,20.0
Green Coco,Pure Green Green Coco,Pure Green,oz,16.0,90.0
Green Lemonade,Daily Greens Green Lemonade,Daily Greens,fl oz,8.0,10.0
"Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Small","Core Life Eatery Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Small",Core Life Eatery,Bowl,1.0,280.0
"Riced Veggies, Cauliflower Medley","Green Giant Riced Veggies, Cauliflower Medley",Green Giant,cup,1.0,25.0
Green Beans,Green Line Green Beans,Green Line,cup,0.75,25.0
Kale Greens,Georgia Greens Kale Greens,Georgia Greens,oz,3.0,45.0
Fresh Green Beans,Green Line Fresh Green Beans,Green Line,cup,0.75,25.0
"Dietary Supplement, Skinny Greens, Green Juice Superfood Powder, Green Apple Flavor","Skinnyfit Dietary Supplement, Skinny Greens, Green Juice Superfood Powder, Green Apple Flavor",Skinnyfit,scoop,1.0,15.0
"Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Big","Core Life Eatery Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Big",Core Life Eatery,Bowl,1.0,430.0
Classic Greenz Salad,Greenz Salads Classic Greenz Salad,Greenz Salads,salad,1.0,280.0
"Diet Green Tea, Citrus","Lipton Diet Green Tea, Citrus",Lipton,bottle,1.0,0.0
"Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Big DP","Core Life Eatery Steak Green Bowl, Bacon & Bleu Greens Green Bowl, Big DP",Core Life Eatery,Bowl,1.0,570.0
Tender Greens Salad,Tender Greens Tender Greens Salad,Tender Greens,serving,1.0,250.0
"Vegetable Juice, Greens & Greens","Forager Vegetable Juice, Greens & Greens",Forager,fl oz,8.0,45.0
Gumbo,J. Gumbo's Down-home Cajun Cookin Gumbo,J. Gumbo's Down-home Cajun Cookin,serving without rice,1.0,320.0
Vegetable Gumbo,Publix Vegetable Gumbo,Publix,cup,0.75,50.0
Chicken Gumbo,Pizza Inn Chicken Gumbo,Pizza Inn,ladle,1.0,50.0
Gumbolaya Soup,Arni's Restaurant Gumbolaya Soup,Arni's Restaurant,serving,1.0,100.0
Seafood Gumbo,Souper Salad Seafood Gumbo,Souper Salad,oz,5.0,110.0
Turkey Gumbo,D'1932 Turkey Gumbo,D'1932,cup,1.0,140.0
"Soup, Chicken & Sausage Gumbo","Progresso Soup, Chicken & Sausage Gumbo",Progresso,cup,1.0,110.0
"Chunky Soup, Grilled Chicken & Sausage Gumbo","Campbell's Chunky Soup, Grilled Chicken & Sausage Gumbo",Campbell's,cup,1.0,140.0
Creole Chicken Gumbo,Coffee Culture Creole Chicken Gumbo,Coffee Culture,mL,240.0,130.0
"Creole Creations, Seafood Gumbo","Emeril's Creole Creations, Seafood Gumbo",Emeril's,package,1.0,180.0
Chicken & Sausage Gumbo,Logan's Roadhouse Chicken & Sausage Gumbo,Logan's Roadhouse,bowl,1.0,430.0
Gumbo with Rice,City Barbeque Gumbo with Rice,City Barbeque,cup,0.6600000262260437,190.0
"Gumbo, Grilled Chicken & Sausage","Campbell's Gumbo, Grilled Chicken & Sausage",Campbell's,cup,1.0,130.0
Gumbo Mac,Tom and Chee Gumbo Mac,Tom and Chee,sandwich,1.0,1290.0
"Gumbo, Bowl","Connors Steak & Seafood Gumbo, Bowl",Connors Steak & Seafood,serving,1.0,180.0
Peppered Chicken Gumbo,Profile Peppered Chicken Gumbo,Profile,tray,1.0,160.0
Gumbo Dinner Kit,Luzianne Gumbo Dinner Kit,Luzianne,box,0.20000000298023224,160.0
Chicken Gumbo Soup - 8oz,Cafe Metro Chicken Gumbo Soup - 8oz,Cafe Metro,oz,8.0,60.0
"Chicken Gumbo, Bowl","Jersey Mike's Subs Chicken Gumbo, Bowl",Jersey Mike's Subs,bowl,1.0,150.0
Seafood Gumbo-Bowl (Regional),Red Lobster Seafood Gumbo-Bowl (Regional),Red Lobster,serving,1.0,460.0
Grits,Quaker Grits,Quaker,cup,0.25,130.0
Instant Grits Original 340.,Quaker Instant Grits Original 340.,Quaker,packet,1.0,100.0
Corn Grits,Arepas Corn Grits,Arepas,piece,1.0,171.0
Grits Bowl,Krystal Grits Bowl,Krystal,side,1.0,210.0
Cheese Grits,Shoney's Cheese Grits,Shoney's,cup,0.5,100.0
Shrimp & Grits,Shoney's Shrimp & Grits,Shoney's,serving,1.0,740.0
"Grits, Old Fashioned","Quaker Grits, Old Fashioned",Quaker,cup,0.25,150.0
Grits with Margarine,Denny's Grits with Margarine,Denny's,oz,4.0,90.0
Instant Grits,Randolph County Instant Grits,Randolph County,pouch,1.0,90.0
Grits Platter,Ward's Restaurants Grits Platter,Ward's Restaurants,g,237.0,190.0
"Grits, Cup","Bob Evans Grits, Cup",Bob Evans,oz,5.800000190734863,160.0
Homestyle Grits,Huddle House Homestyle Grits,Huddle House,bowl,1.0,120.0
Instant Grits Original,Quaker Instant Grits Original,Quaker,packet,1.0,100.0
"Instant Grits, Butter","Quaker Instant Grits, Butter",Quaker,packet,1.0,100.0
Original Instant Grits,Quaker Original Instant Grits,Quaker,cup,0.5,140.0
Quick Grits,Southern Home Quick Grits,Southern Home,tbsp dry,3.0,130.0
"Instant Grits, Flavor Variety","Quaker Instant Grits, Flavor Variety",Quaker,packet,1.0,100.0
"Grits, Individual","Bojangles' Grits, Individual",Bojangles',serving,1.0,80.0
"Grits, Picnic","Bojangles' Grits, Picnic",Bojangles',serving,1.0,320.0
Side of Grits,First Watch Side of Grits,First Watch,serving,1.0,160.0
Original Grahams,Grateful Grahams Original Grahams,Grateful Grahams,graham,1.0,153.0
Teddy Grahams Honey,Teddy Grahams Teddy Grahams Honey,Teddy Grahams,pieces,24.0,130.0
"Elf Grahams Fun Graham Snacks, Chocolate","Keebler Elf Grahams Fun Graham Snacks, Chocolate",Keebler,package,1.0,120.0
"Graham Snacks, Chocolate","Teddy Grahams Graham Snacks, Chocolate",Teddy Grahams,package,1.0,90.0
Honey Maid Teddy Grahams Chocolatey Chip Graham Snacks,Teddy Grahams Honey Maid Teddy Grahams Chocolatey Chip Graham Snacks,Teddy Grahams,pieces,24.0,130.0
"Graham Style Crackers, Honey Grahams","Pamela's Graham Style Crackers, Honey Grahams",Pamela's,pieces,10.0,140.0
Teddy Grahams Chocolate,Teddy Grahams Teddy Grahams Chocolate,Teddy Grahams,pieces,24.0,130.0
"Honey Maid Teddy Grahams, Apple","Nabisco Teddy Grahams Honey Maid Teddy Grahams, Apple",Nabisco Teddy Grahams,pieces,24.0,130.0
"Deluxe Grahams, Fudge Covered Graham Crackers","Deluxe Grahams Deluxe Grahams, Fudge Covered Graham Crackers",Deluxe Grahams,pieces,3.0,140.0
"Goldfish Baked Graham Snacks, Grahams Hot Cocoa","Pepperidge Farm Goldfish Baked Graham Snacks, Grahams Hot Cocoa",Pepperidge Farm,pieces,48.0,140.0
"Graham Snacks, Cinnamon","Teddy Grahams Graham Snacks, Cinnamon",Teddy Grahams,package,1.0,90.0
"Bunny Grahams, Friends All Natural Whole Grain Graham Snacks","Annie's Homegrown Bunny Grahams, Friends All Natural Whole Grain Graham Snacks",Annie's Homegrown,G,28.0,120.0
"Graham Snacks, Chocolate, Honey and Cinnamon","Teddy Grahams Graham Snacks, Chocolate, Honey and Cinnamon",Teddy Grahams,pack,1.0,120.0
"Tasty Grahams, Key Lime Pudding Pie W/Graham Cracker Crust","Tastykake Tasty Grahams, Key Lime Pudding Pie W/Graham Cracker Crust",Tastykake,G,113.0,340.0
"Honey Maid Teddy Grahams, Cinnamon","Teddy Grahams Honey Maid Teddy Grahams, Cinnamon",Teddy Grahams,pieces,24.0,130.0
"Goldfish Baked Graham Snacks, Grahams, Fudge Brownie","Pepperidge Farm Goldfish Baked Graham Snacks, Grahams, Fudge Brownie",Pepperidge Farm,package,1.0,50.0
"Honey Maid Teddy Grahams, Honey","Teddy Grahams Honey Maid Teddy Grahams, Honey",Teddy Grahams,pieces,24.0,130.0
"Nutrition Bar, Fudge Graham","Zone Perfect Nutrition Bar, Fudge Graham",Zone Perfect,bar,1.0,210.0
"Snacks, Pop-Tarts Mini Crisps/Cinnamon Toast Grahams/Elf Grahams Variety Pack","Keebler Snacks, Pop-Tarts Mini Crisps/Cinnamon Toast Grahams/Elf Grahams Variety Pack",Keebler,pouch,1.0,100.0
Rhubarb Graham,Potter's Crackers Rhubarb Graham,Potter's Crackers,crackers,4.0,110.0
"Ritz, Crackers","Nabisco Ritz, Crackers",Nabisco,crackers,5.0,80.0
"Crackers, Cheddar N' Stuff","Super Crackers Crackers, Cheddar N' Stuff",Super Crackers,packet,1.0,100.0
Rosemary Baked Lentil Chips,Mediterranean Crackers Rosemary Baked Lentil Chips,Mediterranean Crackers,chips,22.0,110.0
"Goldfish Crackers, Cheddar","Pepperidge Farm Goldfish Crackers, Cheddar",Pepperidge Farm,package,1.0,130.0
"Premium Saltine Crackers, Original","Nabisco Premium Saltine Crackers, Original",Nabisco,crackers,5.0,70.0
"Organic Crackers, Original","Mary's Gone Crackers Organic Crackers, Original",Mary's Gone Crackers,crackers,13.0,140.0
"Crackers, Original","Ritz Crackers, Original",Ritz,crackers,5.0,80.0
Carrot Ginger Crisps,Potter's Crackers Carrot Ginger Crisps,Potter's Crackers,crackers,4.0,90.0
Cheddar N' Stuff Crackers,Super Crackers Cheddar N' Stuff Crackers,Super Crackers,g,30.0,150.0
Leek & Onion Crackers,Mediterranean Crackers Leek & Onion Crackers,Mediterranean Crackers,pieces,3.0,91.0
"Club Crackers, Original","Keebler Club Crackers, Original",Keebler,crackers,4.0,70.0
Superseed Crackers,Mary's Gone Crackers Superseed Crackers,Mary's Gone Crackers,crackers,12.0,150.0
Original Whole Grain Crackers,Wheat Thins Original Whole Grain Crackers,Wheat Thins,pieces,16.0,140.0
"Love Cookies, ""N'Oatmeal"" Raisin without Oats","Mary's Gone Crackers Love Cookies, ""N'Oatmeal"" Raisin without Oats",Mary's Gone Crackers,cookies,2.0,120.0
Cayenne & Cumin,Z Crackers Cayenne & Cumin,Z Crackers,oz,1.100000023841858,90.0
Cheddar N Stuff Crackers,Super Crackers Cheddar N Stuff Crackers,Super Crackers,packet,1.0,100.0
Boneless Ham,HoneyBaked Ham Boneless Ham,HoneyBaked Ham,Oz,3.0,130.0
Ham Classic,HoneyBaked Ham Ham Classic,HoneyBaked Ham,Sandwich,1.0,620.0
Ham Salad,HoneyBaked Ham Ham Salad,HoneyBaked Ham,cup,0.5,310.0
Bone-In Ham,HoneyBaked Ham Bone-In Ham,HoneyBaked Ham,Oz,3.0,170.0
Ham & Cheddar Croissant,HoneyBaked Ham Ham & Cheddar Croissant,HoneyBaked Ham,serving,1.0,480.0
Ham Salad Sandwich,HoneyBaked Ham Ham Salad Sandwich,HoneyBaked Ham,Sandwich,1.0,720.0
"Hammer Gel, Unflavored","Hammer Nutrition Hammer Gel, Unflavored",Hammer Nutrition,tbsp,1.7000000476837158,100.0
Ham & Turkey Bella,HoneyBaked Ham Ham & Turkey Bella,HoneyBaked Ham,Sandwich,1.0,710.0
Ham & Turkey Pesto,HoneyBaked Ham Ham & Turkey Pesto,HoneyBaked Ham,Sandwich,1.0,660.0
"Ham, Bacon & Cheddar Croissant","HoneyBaked Ham Ham, Bacon & Cheddar Croissant",HoneyBaked Ham,serving,1.0,580.0
Ham and Cheese Bites,HoneyBaked Ham Ham and Cheese Bites,HoneyBaked Ham,Pieces,2.0,180.0
"Ham, Egg, & Cheddar Croissant","HoneyBaked Ham Ham, Egg, & Cheddar Croissant",HoneyBaked Ham,Sandwich,1.0,470.0
Halibut,Pacific Halibut,Pacific,oz,3.5,180.0
Halibut-Dinner,Red Lobster Halibut-Dinner,Red Lobster,serving,1.0,200.0
Alaskan Halibut,Lazy Dog Alaskan Halibut,Lazy Dog,serving,1.0,770.0
Wild Alaskan Halibut Fillets,Unknown Wild Alaskan Halibut Fillets,Unknown,oz raw,4.0,100.0
Halibut Fillet,Burrito Boyz Halibut Fillet,Burrito Boyz,oz,1.0,35.0
Grilled Wild Halibut,El Torito Grilled Wild Halibut,El Torito,serving,1.0,440.0
Parmesan Halibut,Connors Steak & Seafood Parmesan Halibut,Connors Steak & Seafood,serving,1.0,530.0
Halibut Entree with French Fries,Ivar's Halibut Entree with French Fries,Ivar's,grams,458.0,670.0
Large Halibut Naked Burrito,Burrito Boyz Large Halibut Naked Burrito,Burrito Boyz,oz,19.200000762939453,720.0
GS Porcini Crusted Halibut,Yard House GS Porcini Crusted Halibut,Yard House,Serving,1.0,1210.0
Halibut Per 4 oz.,Arctic Circle Halibut Per 4 oz.,Arctic Circle,pieces,2.0,220.0
Grilled Halibut Dinner,Ivar's Grilled Halibut Dinner,Ivar's,grams,453.0,670.0
Halibut Fish & Chips,Burgerville Halibut Fish & Chips,Burgerville,order,1.0,690.0
Halibut-Lunch,Red Lobster Halibut-Lunch,Red Lobster,serving,1.0,200.0
Small Halibut Naked Burrito,Burrito Boyz Small Halibut Naked Burrito,Burrito Boyz,oz,15.199999809265137,650.0
2 Piece Halibut and Chips,Joey's Seafood 2 Piece Halibut and Chips,Joey's Seafood,serving,1.0,1100.0
Baja Halibut Taco x3,The Keg Steakhouse Baja Halibut Taco x3,The Keg Steakhouse,tacos,3.0,640.0
Halibut Filet,Acapulco Mexican Restaurant Y Cantina Halibut Filet,Acapulco Mexican Restaurant Y Cantina,serving,1.0,1020.0
"Large Halibut Burrito, White Tortilla","Burrito Boyz Large Halibut Burrito, White Tortilla",Burrito Boyz,oz,22.0,880.0
Halibut & Chips,The Keg Steakhouse Halibut & Chips,The Keg Steakhouse,serving,1.0,1070.0
Hamburger with Thousand Island,Original Tommy's Hamburgers Hamburger with Thousand Island,Original Tommy's Hamburgers,grams,270.0,480.0
Caliente Hamburger with Cheese,Original Tommy's Hamburgers Caliente Hamburger with Cheese,Original Tommy's Hamburgers,grams,392.0,780.0
"Hamburger Buns, Hamburger Buns","Bimbo Bakeries Hamburger Buns, Hamburger Buns",Bimbo Bakeries,bun,1.0,190.0
Hamburger Buns,L'oven Fresh Hamburger Buns,L'oven Fresh,bun,1.0,110.0
Hamburger Helper Chili Macaroni,Hamburger Helper Hamburger Helper Chili Macaroni,Hamburger Helper,cup as pkgd,0.25,110.0
Cheeseburger,Hamburger Helper Cheeseburger,Hamburger Helper,cup as pkgd,0.33000001311302185,110.0
"Buns, Hamburger","Milano Buns, Hamburger",Milano,roll,1.0,150.0
Coke,Milo's Hamburgers Coke,Milo's Hamburgers,Med Drink w/ ice,1.0,140.0
Hamburger Rolls,Shaw's Hamburger Rolls,Shaw's,roll,1.0,120.0
Wrap,Milo's Hamburgers Wrap,Milo's Hamburgers,wrap,1.0,460.0
Coffee,Milo's Hamburgers Coffee,Milo's Hamburgers,oz,16.0,0.0
Sprite,Milo's Hamburgers Sprite,Milo's Hamburgers,Med Drink w/ ice,1.0,130.0
"Pure Honey, Clover Honey","Whispering Pines Honey Pure Honey, Clover Honey",Whispering Pines Honey,tbsp,1.0,64.0
"Honey Bunches of Oats Granola, Crunchy Honey Roasted","Post Honey Bunches of Oats Granola, Crunchy Honey Roasted",Post,cup,0.5,230.0
"Honey Maid Angry Birds, Honey Grahams","Honey Maid Honey Maid Angry Birds, Honey Grahams",Honey Maid,pack,1.0,120.0
Honey,Hauke Honey Honey,Hauke Honey,tbsp,1.0,50.0
Honey Bunches of Oats Cereal with Crispy Almonds,Honey Bunches Honey Bunches of Oats Cereal with Crispy Almonds,Honey Bunches,cup,0.75,130.0
Life Honey Wheat Bread,Nature's Own Life Honey Wheat Bread,Nature's Own,slices,2.0,80.0
The HoneyBaked,HoneyBaked Ham The HoneyBaked,HoneyBaked Ham,Sandwich,1.0,850.0
Borage Honey,Honeybee Centre Borage Honey,Honeybee Centre,tablespoon,1.0,60.0
Essential Honeystix,Healaman Honey Essential Honeystix,Healaman Honey,stick,1.0,15.0
Wildflower Honey,Honey Brother Wildflower Honey,Honey Brother,tbsp,1.0,60.0
Honey Bee Honey,Unknown Honey Bee Honey,Unknown,tbsp,1.0,60.0
Honeycomb,Pass The Honey Honeycomb,Pass The Honey,comb,1.0,80.0
Honey Crackers,Honey Maid Honey Crackers,Honey Maid,crackers,8.0,130.0
"Granola Protein, Oats 'N Honey","Nature Valley Granola Protein, Oats 'N Honey",Nature Valley,cup,0.5,210.0
Honey with Strawberry Lemonade,Honeydrop Honey with Strawberry Lemonade,Honeydrop,bottle,1.0,90.0
"Huevos Rancheros, Original","Boloco Huevos Rancheros, Original",Boloco,original serving,1.0,530.0
Huevos Rancheros,Eggsmart Huevos Rancheros,Eggsmart,Serving,1.0,580.0
"Huevos Rancheros, Mini","Boloco Huevos Rancheros, Mini",Boloco,mini serving,1.0,160.0
"Epic Scrambler, Huevos Rancheros","Del Taco Epic Scrambler, Huevos Rancheros",Del Taco,Serving,1.0,1120.0
Rancheros Omelette with Wheat Toast,Friendly's Rancheros Omelette with Wheat Toast,Friendly's,serving,1.0,670.0
